Survey Id,Practice,TriggerDate,product type,survey Type,question text,Response
1,Water,09-30-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The project was successful in terms of addressing the physical challenges by meeting targets set for rehabilitation and installing new drainage networks but fell short in terms of addressing the institutional aspects to help scale up the lessons learned under the project.
2,Education,12-17-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The Ebola outbreak has caused tremendous strain on the client and this might affect implementation progress
3,Governance,02-26-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Project had challenges and as such difficulty in achieving objctives, but also Bank assesment indicators made it difficult to see the good that came out of our engagement on the project. We need to revist assesment process."
4,Water,12-22-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This was a case of very drawn out preparation, so I have an iffy feeling as to where things will go.  GP seems to have been somewhat inflexible in its approach in a very difficult political economy setting. This problem long predates the GP structure by the way."
5,Education,04-01-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"CMU was very slow in responses - first when delays from client in getting key information meant decision had to be taken on timing of delivery. CMU took more than two weeks (and much follow up) to even come back on decision on extension or not. Similarly when ICR had to be delivered, CMU had the ICR for a week formally and also had a copy when it was sent to client - yet it did not come back with concurrence within the business standards.  "
6,Env,02-13-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The GP proactively engaged with the CMU, and tooks into consideration the CMU view in the design of this extremely relevant product."
7,Social and Urban,03-27-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The design of the LAMP was such that it focus was too narrow and did not get the larger impact that is required for land reform in the Philippines
8,Social and Urban,01-30-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The project is closed.  It was always run by a country office-based TTL, so the CMU wasn't so much needed to provide local context, but to provide support from the portfolio managment/adminsitrative side.  In my time as TTL that always worked well. Where it could have used some more support was from different sectors (now called GPs).  Everyone was too busy with their own work, however, to make that happen. "
9,Energy,12-27-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),ICRs are generally underbudgeted.
10,Transportation,12-24-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This was a simple single sector project which didn't require much by way of cross GP (or cross CCSA) collaboration. 
11,Governance,06-25-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The task team were all based in country which was very effective. Grateful for support of CMU. The MTDF monitoring and evaluation expert who is part of CMU was key member of the task team. The internal Bank IT expert was given opportunity to gain operational experience on the project and this too worked well.
12,Energy,06-18-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The project  fulfilled its objective  by providing energy access to urban and rural population.  
13,Transportation,12-28-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),This activity closed in June 2014- before the GP model was initiated.
14,Transportation,06-29-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The CMUs should focus more on better client engagement rather than criticizing the task teams all the time. Managing the Ministry of Finance is clearly the job of the CMU and not individual task team leaders for their projects. The task teams can focus on line ministries only. It is simply absurd to expect the task teams to manage relationships at Ministry of Finance which is the key responsibility of the CMUs. What happened to the portfolio reviews, now such reviews are being carried out at CMUs convenience and task teams are not even invited to attend rather asked to just provide some inputs to presentations? The CMUs must play their integrating roles and provide a macro level oversight while allowing the task teams to do their job at the micro level."
15,Transportation,12-29-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"During the ICR stage, there was a disagreement among CMU, GP and INT that how much the project-related INT investigation case should be discussed in the ICR, and the ICR team had a hard time to settle the issue in the ICR at the very end of the delivery time.  I hope that IEG, CMU, GP and INT should discuss this issue and make some guidelines for how much INT investigation cases can/should be discussed in the ICR, for the team to avoid having the same confusion every time."
16,Agriculture,06-25-16,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This was a complex project taking place in a northern state with governance issues. Half way through the project we became aware of substantial governance issues. The team worked with a new Governor to rectify these issues and to implement as much of the project as possible. The did an excellent job in shepherding this problem project and moving it forward under difficult circumstances, even though the overall outcomes were not those originally anticipated."
17,Trade,12-30-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),The CMU has been excellent throughout in dealing with the client and supporting the project. The project involves multiple GPs.
18,Governance,06-24-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),No comments. 
19,Energy,12-31-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),ICRs are generally underbudgeted
20,Transportation,12-25-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This activity consisted on the elaboration of an ICR.  The project however did not perform well and the ICR concluded with an unsatisfactory outcome. However, there is a follow on project that learning from the closed project may help achieve part of the initially intended development outcomes."
21,Transportation,12-25-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"My response relates to the ICR preparation of the Limon project, as TTL.I Would like to commend the CMU strong support for this preparation."
22,Agriculture,12-30-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"The TTL of the project was national staff based in Nicaragua, hence the excellent relationship with the CMU (Country Manager and staff)"
23,Transportation,12-11-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"1. This project was implemented under very difficult conditions due to the security and safety issues in Iraq. 2. Despite the client's weak capacity handholding was key to the successful implementation of a most of the activities.3. Frequency of face to face meetings and discussions with the client's political (ministers level) and technical team also contributed to better understanding of the issues, challenges and ways to address them.4. Understanding the local context and constrains as well as speaking the client's language also contributed to the successful implementation of most of the activities.5. Close working relationship and direct communication between the TTL and the country director and country manager was key to over come many of the challenges.6. Full support from the Sector Manager was also key to address the challenges."
24,Water,12-24-15,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"These questionnaires we get are full of irrelevant one size fits all kinds of questions although they are project specific. This leads to unnecessary transactions and also probably leads to low response rates for most surveys. While we all know management is trying to get the pulse after this massive reorganization, many questionnaires border on being self serving."
25,Agriculture,03-13-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"There is a need to standardize the review and approval process across GPs regarding the GP director's approval of the ICRs. This is a new, additional step that has added to the preparation process of the ICR and the whole quality assurance process remains unclear."
26,Social and Urban,05-15-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Due to the Bank's disbursement suspension since March 11, 2015 and heavy fighting across Yemen, project implementation has been put on hold.   "
27,Water,06-26-16,Lending,Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"This project was implemented in an area affected by conflict and security problems.  Because of the security issues, colleagues from procurement and financial management were changed frequently as they were not happy to be traveling to Quetta, so, whenever they get a chance to opt out the missions, they did, and the project suffered as only new comers and inexperienced people were given the task to go there and to perform.  The experienced ones were often sending their consultants to do the mission on their behalf.  Same was applied to the assigned environmental specialist who never travel there and the young consultant he hired had to go...The Social development specialist from 2010 unit 2014 did not travel even once to the Quetta.  He tried but the flight was postponed and he did not go despite the fact that the project had large Resettlement Component.  "
28,Water,12-16-15,Lending,Non-Dept,Please share any additional feedback you may have in the box below. (Max 1000 characters),"Long standing problem. A recent change in TTL seems to have had good impact. Prior to that, this was a classic case of a project that simply did not move and a team that continued claiming everything was fine."
